order_id,quantity,item_name,choice_description,item_price,item_price_per
24,1,chicken burrito, Roasted Chili Corn Salsa Medium Black Beans Rice Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
24,1,canned soda, Sprite ,1.09,1.09
25,1,steak bowl, Fresh Tomato Salsa Mild Black Beans Rice Fajita Veggies Cheese Sour Cream ,8.99,8.99
25,1,chips and fresh tomato salsa,,2.39,2.39
26,1,barbacoa soft tacos, Fresh Tomato Salsa Fajita Vegetables Black Beans Lettuce ,9.25,9.25
26,1,veggie burrito, Tomatillo Red Chili Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
27,1,barbacoa bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
27,1,chips,,2.15,2.15
28,1,chips and guacamole,,4.45,4.45
28,1,steak soft tacos, Fresh Tomato Salsa Cheese ,9.25,9.25
28,1,veggie bowl, Fresh Tomato Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
28,1,chicken burrito, Fresh Tomato Salsa Rice Black Beans Cheese ,8.75,8.75
29,1,steak burrito, Tomatillo Red Chili Salsa Hot Black Beans Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.99,8.99
29,1,steak soft tacos, Tomatillo Red Chili Salsa Hot Rice Cheese Sour Cream Lettuce ,8.99,8.99
30,1,izze, Blackberry ,3.39,3.39
30,1,steak burrito, Tomatillo Red Chili Salsa Hot Rice Cheese ,8.99,8.99
30,1,chicken burrito, Tomatillo Red Chili Salsa Hot Black Beans Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
31,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Black Beans Sour Cream ,8.99,8.99
31,1,side of chips,,1.69,1.69
32,1,steak burrito, Tomatillo Red Chili Salsa Hot Black Beans Rice Cheese Sour Cream Lettuce ,8.99,8.99
32,1,chips and guacamole,,3.99,3.99
33,1,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese Sour Cream ,8.75,8.75
33,1,chips and guacamole,,4.45,4.45
34,1,chicken soft tacos, Tomatillo Red Chili Salsa Rice Cheese Sour Cream Lettuce ,8.75,8.75
34,1,chicken bowl, Fresh Tomato Salsa Rice Black Beans Pinto Beans Cheese Lettuce ,8.75,8.75
34,1,chips,,2.15,2.15
34,1,chicken bowl, Fresh Tomato Salsa Rice Black Beans Cheese Sour Cream Lettuce ,8.75,8.75
35,1,chicken soft tacos, Roasted Chili Corn Salsa Rice Cheese Lettuce Guacamole ,11.25,11.25
35,1,chips,,2.15,2.15
36,1,barbacoa burrito, Fresh Tomato Salsa Rice Pinto Beans Cheese Sour Cream Lettuce ,9.25,9.25
36,1,chicken burrito, Fresh Tomato Salsa Rice Black Beans Cheese Sour Cream Lettuce ,8.75,8.75
37,1,chicken burrito, Tomatillo Green Chili Salsa Rice Black Beans Sour Cream Cheese ,8.75,8.75
37,1,steak soft tacos, Tomatillo Red Chili Salsa ,9.25,9.25
38,1,veggie bowl, Tomatillo Red Chili Salsa Hot Pinto Beans Black Beans Rice Fajita Veggies Lettuce ,8.49,8.49
38,1,steak bowl, Tomatillo Red Chili Salsa Hot Pinto Beans Rice Fajita Veggies Cheese Lettuce ,8.99,8.99
38,1,bottled water,,1.09,1.09
39,1,carnitas burrito, Fresh Tomato Salsa Rice Pinto Beans Sour Cream Cheese ,9.25,9.25
39,1,chips and fresh tomato salsa,,2.95,2.95
40,1,steak bowl, Fresh Tomato Salsa Rice Black Beans Cheese Sour Cream Guacamole ,11.75,11.75
40,1,steak bowl, Fresh Tomato Salsa Fajita Vegetables Cheese Sour Cream Guacamole ,11.75,11.75
40,1,steak crispy tacos, Fresh Tomato Salsa Sour Cream ,9.25,9.25
41,1,carnitas burrito, Roasted Chili Corn Salsa Sour Cream Guacamole ,11.75,11.75
41,1,chips and guacamole,,4.45,4.45
42,1,barbacoa bowl, Fresh Tomato Salsa Fajita Vegetables Rice Cheese Sour Cream ,9.25,9.25
42,1,chips and guacamole,,4.45,4.45
43,1,carnitas bowl, Fresh Tomato Salsa Fajita Vegetables Rice Black Beans Cheese Guacamole Lettuce ,11.75,11.75
43,1,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese ,8.75,8.75
44,1,chicken bowl, Tomatillo Red Chili Salsa Rice Fajita Vegetables Sour Cream Lettuce ,8.75,8.75
44,1,chips and guacamole,,4.45,4.45
45,1,steak burrito, Tomatillo Green Chili Salsa Medium Rice Cheese Sour Cream Lettuce ,8.99,8.99
45,1,steak bowl, Tomatillo Green Chili Salsa Medium Rice Cheese Sour Cream Lettuce ,8.99,8.99
45,1,chips and guacamole,,3.99,3.99
46,1,veggie burrito, Fresh Tomato Salsa Mild Black Beans Rice Fajita Veggies Sour Cream Lettuce ,8.49,8.49
46,1,nantucket nectar, Pineapple Orange Banana ,3.39,3.39
47,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Black Beans Fajita Veggies Sour Cream ,8.99,8.99
47,1,canned soda, Dr Pepper ,1.09,1.09
48,1,steak burrito, Roasted Chili Corn Salsa Fajita Vegetables Rice Cheese Sour Cream Lettuce ,9.25,9.25
48,1,chips and guacamole,,4.45,4.45
49,1,chicken bowl, Tomatillo Red Chili Salsa Rice Black Beans Cheese Sour Cream Lettuce ,8.75,8.75
49,1,chips and tomatillo red chili salsa,,2.95,2.95
49,1,chips and guacamole,,4.45,4.45
50,1,chips and tomatillo green chili salsa,,2.39,2.39
50,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Rice Cheese Sour Cream ,8.49,8.49
51,1,barbacoa bowl, Tomatillo Red Chili Salsa Hot Tomatillo Green Chili Salsa Medium Rice Pinto Beans Fajita Veggies Cheese Sour Cream Lettuce ,8.99,8.99
51,1,chicken burrito, Tomatillo Red Chili Salsa Hot Tomatillo Green Chili Salsa Medium Rice Pinto Beans Cheese Lettuce ,8.49,8.49
51,1,canned soda, Diet Dr Pepper ,1.09,1.09
52,1,steak soft tacos, Roasted Chili Corn Salsa Medium Tomatillo Red Chili Salsa Hot Cheese Sour Cream Lettuce ,8.99,8.99
52,1,chips and guacamole,,3.99,3.99
53,1,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Sour Cream Cheese Lettuce ,8.75,8.75
53,1,barbacoa burrito, Tomatillo Green Chili Salsa Rice Black Beans Sour Cream Cheese Lettuce ,9.25,9.25
53,1,chips and guacamole,,4.45,4.45
54,1,chicken bowl, Fresh Tomato Salsa Guacamole Cheese Sour Cream Fajita Vegetables Rice ,11.25,11.25
54,1,chips and guacamole,,4.45,4.45
55,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Black Beans Fajita Veggies Sour Cream ,8.99,8.99
55,1,canned soda, Coca Cola ,1.09,1.09
56,1,barbacoa bowl, Tomatillo Red Chili Salsa Rice Pinto Beans Cheese Lettuce ,9.25,9.25
56,1,chips and tomatillo red chili salsa,,2.95,2.95
56,1,chips and guacamole,,4.45,4.45
57,1,barbacoa burrito, Roasted Chili Corn Salsa Rice Pinto Beans Cheese Guacamole Lettuce ,11.75,11.75
57,1,chips and guacamole,,4.45,4.45
58,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Rice Cheese Sour Cream ,8.49,8.49
58,1,chips and tomatillo green chili salsa,,2.39,2.39
59,1,chicken burrito, Roasted Chili Corn Salsa Medium Rice Black Beans Sour Cream Guacamole ,10.98,10.98
60,2,chicken salad bowl, Tomatillo Green Chili Salsa Sour Cream Cheese Guacamole ,22.5,11.25
61,1,barbacoa bowl, Tomatillo Red Chili Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
61,1,chips and guacamole,,4.45,4.45
62,1,chicken bowl, Fresh Tomato Salsa Rice Fajita Vegetables Sour Cream Cheese Guacamole ,11.25,11.25
62,1,chips and guacamole,,4.45,4.45
63,1,chicken bowl, Tomatillo Green Chili Salsa Rice Sour Cream Cheese Guacamole ,11.25,11.25
63,1,chips and guacamole,,4.45,4.45
64,1,chicken bowl, Fresh Tomato Salsa Fajita Vegetables Rice Black Beans Cheese Guacamole Lettuce ,11.25,11.25
64,1,veggie bowl, Tomatillo Red Chili Salsa Fajita Vegetables Black Beans Cheese Guacamole Lettuce ,11.25,11.25
65,1,barbacoa burrito, Tomatillo Red Chili Salsa Rice Sour Cream Cheese Guacamole ,11.75,11.75
65,1,carnitas bowl, Roasted Chili Corn Salsa Rice Fajita Vegetables Black Beans Sour Cream Cheese ,9.25,9.25
65,1,chips and guacamole,,4.45,4.45
66,1,steak burrito, Tomatillo Green Chili Salsa Medium Rice Black Beans Sour Cream Guacamole ,11.48,11.48
67,2,steak burrito, Tomatillo Red Chili Salsa Hot Rice Cheese Sour Cream Lettuce ,17.98,8.99
67,1,side of chips,,1.69,1.69
68,2,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Sour Cream Cheese Lettuce ,17.5,8.75
68,1,chips and guacamole,,4.45,4.45
69,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Rice Cheese Sour Cream ,8.49,8.49
69,1,chips and tomatillo green chili salsa,,2.39,2.39
70,2,chicken bowl, Fresh Tomato Salsa Fajita Vegetables Rice Lettuce ,17.5,8.75
70,1,chips and guacamole,,4.45,4.45
71,1,chips and guacamole,,4.45,4.45
71,1,veggie bowl, Tomatillo Red Chili Salsa Fajita Vegetables Rice Black Beans Cheese Guacamole Lettuce ,11.25,11.25
71,1,steak burrito, Tomatillo Green Chili Salsa Rice Cheese Guacamole Lettuce ,11.75,11.75
72,1,chicken burrito, Roasted Chili Corn Salsa Medium Tomatillo Red Chili Salsa Hot Black Beans Rice Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
73,1,chicken bowl, Fresh Tomato Salsa Mild Black Beans Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.49,8.49
73,1,chicken burrito, Roasted Chili Corn Salsa Medium Tomatillo Red Chili Salsa Hot Black Beans Rice Fajita Veggies Cheese Guacamole Lettuce ,10.98,10.98
73,2,canned soda, Diet Coke ,2.18,1.09
74,1,carnitas bowl, Roasted Chili Corn Salsa Medium Pinto Beans Rice Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,11.48,11.48
74,1,veggie bowl, Fresh Tomato Salsa Mild Roasted Chili Corn Salsa Medium Black Beans Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.49,8.49
74,1,chips and tomatillo green chili salsa,,2.39,2.39
75,1,chips and guacamole,,4.45,4.45
75,1,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese Guacamole Lettuce ,11.25,11.25
75,1,barbacoa crispy tacos, Tomatillo Red Chili Salsa Rice Black Beans Cheese Sour Cream Guacamole ,11.75,11.75
75,1,chicken burrito, Tomatillo Red Chili Salsa Rice Cheese Sour Cream ,8.75,8.75
76,1,chicken burrito, Tomatillo Red Chili Salsa Hot Fresh Tomato Salsa Mild Rice Black Beans Cheese Lettuce ,8.49,8.49
76,2,canned soda, Diet Dr Pepper ,2.18,1.09
77,1,chicken burrito, Tomatillo Red Chili Salsa Hot Black Beans Rice Cheese Sour Cream Lettuce ,8.49,8.49
77,1,nantucket nectar, Apple ,3.39,3.39
78,1,chicken burrito, Tomatillo Green Chili Salsa Medium Lettuce ,8.49,8.49
78,1,steak soft tacos, Roasted Chili Corn Salsa Medium Lettuce ,8.99,8.99
79,1,chicken bowl, Roasted Chili Corn Salsa Medium Black Beans Rice Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
80,1,steak burrito, Fresh Tomato Salsa Mild Rice Black Beans Sour Cream Guacamole ,11.48,11.48
81,1,chicken burrito, Tomatillo Green Chili Salsa Medium Rice Fajita Veggies Cheese Sour Cream ,8.49,8.49
81,1,canned soda, Coca Cola ,1.09,1.09
81,1,canned soda, Dr Pepper ,1.09,1.09
82,1,barbacoa soft tacos, Tomatillo Red Chili Salsa Rice Pinto Beans Cheese Sour Cream ,9.25,9.25
82,1,chicken bowl, Fresh Tomato Salsa Rice Black Beans Sour Cream ,8.75,8.75
82,1,chips and fresh tomato salsa,,2.95,2.95
83,1,steak soft tacos, Fresh Tomato Salsa Cheese Sour Cream ,9.25,9.25
83,1,chips and guacamole,,4.45,4.45
83,1,veggie salad bowl, Fresh Tomato Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
84,1,steak bowl, Fresh Tomato Salsa Mild Rice Fajita Veggies Guacamole Lettuce ,11.48,11.48
84,1,chicken burrito, Roasted Chili Corn Salsa Medium Rice Cheese Sour Cream Lettuce ,8.49,8.49
84,1,chicken burrito, Roasted Chili Corn Salsa Medium Rice Cheese Lettuce ,8.49,8.49
85,1,steak burrito, Roasted Chili Corn Salsa Medium Fajita Veggies Cheese Lettuce Sour Cream Rice ,8.99,8.99
85,1,chips and roasted chili corn salsa,,2.39,2.39
86,1,veggie bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
86,1,chicken bowl, Fresh Tomato Salsa Rice Cheese Sour Cream ,8.75,8.75
86,1,chips and fresh tomato salsa,,2.95,2.95
87,1,canned soda, Coca Cola ,1.09,1.09
87,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Black Beans Sour Cream ,8.99,8.99
88,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Rice Cheese Sour Cream ,8.49,8.49
88,1,chips and tomatillo green chili salsa,,2.39,2.39
89,1,chicken bowl, Roasted Chili Corn Salsa Medium Tomatillo Red Chili Salsa Hot Black Beans Rice Fajita Veggies Guacamole Lettuce ,10.98,10.98
89,1,canned soda, Diet Coke ,1.09,1.09
89,1,chips and guacamole,,3.99,3.99
90,1,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Sour Cream Cheese Lettuce Guacamole ,11.25,11.25
90,1,chicken burrito, Tomatillo Green Chili Salsa Rice Pinto Beans Sour Cream Cheese Lettuce ,8.75,8.75
91,1,chicken burrito, Tomatillo Red Chili Salsa Hot Black Beans Rice Cheese Sour Cream Lettuce ,8.49,8.49
91,1,nantucket nectar, Peach Orange ,3.39,3.39
92,1,chicken bowl, Fresh Tomato Salsa Rice Cheese Lettuce ,8.75,8.75
92,1,steak bowl, Roasted Chili Corn Salsa Rice Black Beans Cheese Sour Cream Lettuce ,9.25,9.25
92,1,chips,,2.15,2.15
93,1,chicken bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
93,1,veggie bowl, Roasted Chili Corn Salsa Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
93,1,chicken bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Pinto Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
93,1,chips and guacamole,,4.45,4.45
94,2,chicken salad bowl, Fresh Tomato Salsa Fajita Vegetables Pinto Beans Guacamole ,22.5,11.25
95,1,chips and guacamole,,4.45,4.45
95,1,steak bowl, Tomatillo Green Chili Salsa Fajita Vegetables Rice Black Beans Cheese Guacamole Lettuce ,11.75,11.75
96,1,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese Sour Cream ,8.75,8.75
96,2,chicken crispy tacos, Tomatillo Red Chili Salsa Cheese Sour Cream Lettuce ,17.5,8.75
96,1,chicken bowl, Tomatillo Green Chili Salsa Rice Black Beans Cheese Sour Cream ,8.75,8.75
97,1,barbacoa bowl, Tomatillo Red Chili Salsa Rice Black Beans Cheese ,9.25,9.25
97,1,chicken bowl, Roasted Chili Corn Salsa Rice Black Beans Cheese Sour Cream ,8.75,8.75
97,1,chips,,2.15,2.15
98,1,barbacoa burrito, Tomatillo Red Chili Salsa Rice Cheese Lettuce ,9.25,9.25
98,2,chips,,4.3,2.15
98,1,chicken bowl, Tomatillo Green Chili Salsa Rice Pinto Beans Sour Cream Lettuce ,8.75,8.75
99,1,veggie burrito, Tomatillo Red Chili Salsa Black Beans Cheese Guacamole ,11.25,11.25
99,1,chips,,2.15,2.15
100,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Black Beans Sour Cream ,8.99,8.99
100,1,canned soda, Mountain Dew ,1.09,1.09
101,1,steak burrito, Tomatillo Green Chili Salsa Medium Black Beans Rice Cheese Sour Cream Lettuce ,8.99,8.99
101,1,chips and guacamole,,3.99,3.99
102,1,chicken bowl, Fresh Tomato Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Lettuce ,8.75,8.75
102,1,chips and tomatillo green chili salsa,,2.95,2.95
102,1,chips and roasted chili corn salsa,,2.95,2.95
103,1,steak burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
103,2,chips and tomatillo green chili salsa,,5.9,2.95
103,1,steak burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese ,9.25,9.25
103,1,carnitas soft tacos, Tomatillo Green Chili Salsa Fajita Vegetables Pinto Beans Cheese ,9.25,9.25
104,1,carnitas burrito, Fresh Tomato Salsa Rice Pinto Beans Sour Cream Cheese ,9.25,9.25
104,1,chips and fresh tomato salsa,,2.95,2.95
105,2,chicken burrito, Tomatillo Red Chili Salsa Rice Black Beans Cheese Sour Cream Lettuce ,17.5,8.75
106,1,chicken burrito, Fresh Tomato Salsa Rice Pinto Beans Cheese Sour Cream ,8.75,8.75
106,1,steak bowl, Fresh Tomato Salsa Rice Black Beans Pinto Beans Cheese Sour Cream ,9.25,9.25
107,1,chicken burrito, Roasted Chili Corn Salsa Medium Rice Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
108,1,steak burrito, Roasted Chili Corn Salsa Medium Rice Fajita Veggies Cheese Lettuce ,8.99,8.99
108,1,canned soda, Mountain Dew ,1.09,1.09
108,1,canned soda, Dr Pepper ,1.09,1.09
108,1,barbacoa burrito, Tomatillo Red Chili Salsa Hot Fresh Tomato Salsa Mild Tomatillo Green Chili Salsa Medium Rice Pinto Beans Cheese ,8.99,8.99
109,1,chicken salad, Roasted Chili Corn Salsa Medium Black Beans Rice Fajita Veggies Cheese Sour Cream Guacamole Lettuce ,10.98,10.98
109,1,canned soda, Diet Dr Pepper ,1.09,1.09
110,1,chicken bowl, Tomatillo Red Chili Salsa Rice Cheese Lettuce ,8.75,8.75
110,1,veggie bowl, Roasted Chili Corn Salsa Rice Pinto Beans Cheese Sour Cream ,8.75,8.75
110,1,barbacoa bowl, Tomatillo Red Chili Salsa Rice Cheese Lettuce ,9.25,9.25
110,1,barbacoa crispy tacos, Roasted Chili Corn Salsa Rice Cheese Lettuce ,9.25,9.25
111,1,chicken salad bowl, Fresh Tomato Salsa Fajita Vegetables Rice Cheese Sour Cream Lettuce ,8.75,8.75
111,1,chicken bowl, Fresh Tomato Salsa Rice Black Beans Cheese ,8.75,8.75
112,1,steak burrito, Tomatillo Red Chili Salsa Hot Pinto Beans Rice Fajita Veggies Cheese Sour Cream ,8.99,8.99
112,1,steak bowl, Tomatillo Red Chili Salsa Hot Pinto Beans Rice Fajita Veggies Cheese Sour Cream ,8.99,8.99
113,1,steak bowl, Roasted Chili Corn Salsa Medium Rice Black Beans Sour Cream ,8.99,8.99
113,1,canned soda, Mountain Dew ,1.09,1.09
114,1,steak bowl, Fresh Tomato Salsa Fajita Vegetables Cheese Sour Cream Guacamole Lettuce ,11.75,11.75
114,1,canned soft drink, Coke ,1.25,1.25
115,1,steak burrito, Roasted Chili Corn Salsa Medium Black Beans Rice ,8.99,8.99
115,1,chips and fresh tomato salsa,,2.39,2.39
116,1,steak soft tacos, Fresh Tomato Salsa Rice Cheese Lettuce ,9.25,9.25
116,1,chips and fresh tomato salsa,,2.95,2.95
117,1,barbacoa soft tacos, Tomatillo Red Chili Salsa Hot Pinto Beans Cheese Sour Cream Lettuce ,8.99,8.99
117,1,chips and guacamole,,3.99,3.99
118,1,chicken burrito, Tomatillo Green Chili Salsa Medium Pinto Beans Rice Cheese Sour Cream ,8.49,8.49
118,1,chips and tomatillo green chili salsa,,2.39,2.39
119,1,chicken burrito, Fresh Tomato Salsa Mild Roasted Chili Corn Salsa Medium Pinto Beans Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.49,8.49
119,1,chicken burrito, Roasted Chili Corn Salsa Medium Black Beans Rice Cheese Sour Cream Lettuce ,8.49,8.49
120,1,chicken burrito, Tomatillo Red Chili Salsa Hot Black Beans Rice Cheese ,8.49,8.49
120,1,side of chips,,1.69,1.69
121,1,chicken burrito, Fresh Tomato Salsa Mild Black Beans Rice Cheese Sour Cream ,8.49,8.49
121,1,chips and guacamole,,3.99,3.99
122,1,steak soft tacos, Tomatillo Red Chili Salsa Hot Rice Cheese Lettuce ,8.99,8.99
122,1,side of chips,,1.69,1.69
122,1,canned soda, Coca Cola ,1.09,1.09
123,2,steak salad bowl, Tomatillo Red Chili Salsa Black Beans Cheese Guacamole ,23.78,11.89
124,2,chicken bowl, Fresh Tomato Salsa Rice Black Beans Cheese Sour Cream ,17.5,8.75
124,1,chips,,2.15,2.15
124,1,chicken bowl, Fresh Tomato Salsa Rice Cheese Sour Cream ,8.75,8.75
125,1,steak bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Lettuce ,9.25,9.25
125,1,steak bowl, Roasted Chili Corn Salsa Rice Black Beans Cheese Sour Cream Lettuce ,9.25,9.25
125,1,veggie bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Cheese Sour Cream Lettuce ,8.75,8.75
125,1,chips and guacamole,,4.45,4.45
126,1,chicken burrito, Fresh Tomato Salsa Rice Cheese Sour Cream ,8.75,8.75
126,1,chicken bowl, Roasted Chili Corn Salsa Fajita Vegetables Rice Black Beans Guacamole Lettuce ,11.25,11.25
127,1,chicken bowl, Tomatillo Green Chili Salsa Rice Sour Cream Guacamole Lettuce ,11.25,11.25
127,1,canned soft drink, Sprite ,1.25,1.25
128,1,steak soft tacos, Fresh Tomato Salsa Cheese Sour Cream ,9.25,9.25
128,1,chips and guacamole,,4.45,4.45
128,1,veggie salad bowl, Fresh Tomato Salsa Fajita Vegetables Lettuce Guacamole Sour Cream Cheese Black Beans Rice ,11.25,11.25
129,1,steak burrito, Tomatillo Green Chili Salsa Rice Cheese Guacamole ,11.75,11.75
129,1,6 pack soft drink, Sprite ,6.49,6.49
130,1,steak soft tacos, Tomatillo Red Chili Salsa Hot Lettuce ,8.99,8.99
130,1,chips and tomatillo red chili salsa,,2.39,2.39
131,1,chicken bowl, Fresh Tomato Salsa Mild Rice Fajita Veggies Cheese Sour Cream Lettuce ,8.49,8.49
131,1,chips and fresh tomato salsa,,2.39,2.39
132,1,chicken bowl, Fresh Tomato Salsa Rice Black Beans Cheese Sour Cream Guacamole Lettuce ,11.25,11.25
